variant,mean_best,std_best,mean_gap_pct,mean_final_generation,individual_runs
"50",467.82,10.76,9.82,500,[454.15,463.27,484.71,478.79,460.77,466.06,463.53,456.52,467.44,482.96]
"100",453.95,12.67,6.56,500,[452.68,453.13,456.95,446.77,447.67,450.04,446.96,444.32,452.59,488.34]
"200",456.40,11.06,7.14,500,[450.17,472.41,472.41,443.49,443.04,450.51,458.83,467.42,455.87,449.9]
"400",456.08,15.42,7.06,500,[459.84,461.95,492.47,452.9,458.7,461.45,445.35,444.77,447.29,436.08]
