variant,mean_best,std_best,mean_gap_pct,mean_final_generation,individual_runs
"tournament_k=5",456.40,11.06,7.14,500,[450.17,472.41,472.41,443.49,443.04,450.51,458.83,467.42,455.87,449.9]
"tournament_k=2",550.11,27.53,29.13,500,[525.28,558.69,588.39,574.29,508.63,587.17,544.2,521.46,539.22,553.77]
"roulette",752.04,45.29,76.53,500,[858.58,730.19,730.21,746.87,769.39,733.7,720.63,750.24,786.26,694.32]
"rank",542.76,33.22,27.41,500,[596.94,514.97,595.04,517.58,547.04,523,508.69,552.06,512.54,559.76]
